object_tag,num_obj,percentAGN,error
75.0,24.0,0.0,0.0
95.0,24.0,0.0,0.0
121.0,23.0,0.0,0.0
127.0,22.0,0.0,0.0
128.0,22.0,0.0,0.0
171.0,20.0,5.0,5.123
196.0,23.0,0.0,0.0
206.0,15.0,13.333,10.037
208.0,25.0,0.0,0.0
210.0,24.0,0.0,0.0
216.0,27.0,0.0,0.0
224.0,25.0,0.0,0.0
229.0,11.0,45.455,24.516
233.0,22.0,0.0,0.0
326.0,22.0,0.0,0.0
345.0,22.0,0.0,0.0
348.0,23.0,0.0,0.0
351.0,24.0,0.0,0.0
412.0,24.0,0.0,0.0
442.0,23.0,0.0,0.0
450.0,25.0,0.0,0.0
467.0,12.0,50.0,25.0
468.0,22.0,0.0,0.0
509.0,25.0,0.0,0.0
568.0,21.0,0.0,0.0
569.0,15.0,0.0,0.0
578.0,20.0,0.0,0.0
584.0,23.0,0.0,0.0
588.0,20.0,0.0,0.0
589.0,19.0,0.0,0.0
590.0,6.0,16.667,18.002
607.0,20.0,10.0,7.416
629.0,22.0,0.0,0.0
634.0,22.0,0.0,0.0
637.0,25.0,0.0,0.0
640.0,26.0,0.0,0.0
649.0,25.0,0.0,0.0
650.0,12.0,16.667,12.729
651.0,23.0,0.0,0.0
652.0,28.0,0.0,0.0
655.0,23.0,4.348,4.441
661.0,27.0,0.0,0.0
665.0,24.0,0.0,0.0
678.0,25.0,0.0,0.0
681.0,14.0,7.143,7.394
691.0,24.0,0.0,0.0
695.0,20.0,0.0,0.0
729.0,6.0,33.333,27.217
738.0,18.0,0.0,0.0
753.0,24.0,0.0,0.0
817.0,22.0,0.0,0.0
828.0,23.0,0.0,0.0
835.0,20.0,0.0,0.0
854.0,22.0,0.0,0.0
855.0,23.0,0.0,0.0
857.0,23.0,0.0,0.0
859.0,24.0,0.0,0.0
864.0,24.0,0.0,0.0
865.0,22.0,0.0,0.0
889.0,26.0,0.0,0.0
890.0,13.0,23.077,14.781
919.0,4.0,25.0,27.951
961.0,19.0,5.263,5.4
975.0,22.0,0.0,0.0
979.0,23.0,0.0,0.0
985.0,23.0,0.0,0.0
1003.0,22.0,0.0,0.0
1008.0,8.0,25.0,19.764
1010.0,23.0,0.0,0.0
1015.0,21.0,0.0,0.0
1027.0,24.0,0.0,0.0
1032.0,23.0,0.0,0.0
1056.0,16.0,18.75,11.797
1073.0,24.0,0.0,0.0
1077.0,23.0,0.0,0.0
1078.0,23.0,0.0,0.0
1084.0,21.0,0.0,0.0
1086.0,23.0,0.0,0.0
1093.0,24.0,0.0,0.0
1095.0,16.0,0.0,0.0
1099.0,24.0,0.0,0.0
1108.0,25.0,0.0,0.0
1114.0,23.0,0.0,0.0
1124.0,25.0,0.0,0.0
1126.0,6.0,0.0,0.0
1127.0,19.0,5.263,5.4
1133.0,25.0,4.0,4.079
1153.0,24.0,0.0,0.0
1173.0,23.0,0.0,0.0
1214.0,28.0,0.0,0.0
1220.0,19.0,5.263,5.4
1235.0,8.0,0.0,0.0
1259.0,22.0,0.0,0.0
1275.0,25.0,0.0,0.0
1284.0,22.0,4.545,4.648
1299.0,8.0,25.0,19.764
1308.0,21.0,0.0,0.0
1319.0,25.0,0.0,0.0
1329.0,22.0,0.0,0.0
1335.0,24.0,0.0,0.0
1337.0,23.0,0.0,0.0
1342.0,23.0,0.0,0.0
1362.0,25.0,0.0,0.0
1363.0,24.0,0.0,0.0
1364.0,25.0,0.0,0.0
1365.0,22.0,0.0,0.0
1369.0,23.0,0.0,0.0
1373.0,23.0,0.0,0.0
1379.0,22.0,0.0,0.0
1383.0,23.0,4.348,4.441
