NSAID,RA
52,146.5945033810299
75,145.8744640479831
95,146.22226579142065
121,145.68111029589974
127,145.7597297191526
128,145.70892714052144
171,145.25695357907614
196,145.29606317477422
206,145.2885652359791
208,145.86810822268563
210,145.54464140522597
216,145.59403015527374
224,145.99264261272268
229,146.01225579169795
233,145.893548972013
326,146.78232611171876
345,147.17089313932203
348,147.29400303025648
351,147.27086250776384
412,149.01061606950282
442,148.77559622040198
450,147.9915294726504
467,148.69243965085585
468,148.10356241524664
487,147.8577952982886
509,147.85482693032432
568,147.30934116056002
569,147.3668612313068
578,147.45008336529838
584,147.52576579164673
588,147.50224974034683
589,147.49092214908157
590,147.45624390135117
607,147.72241141803505
612,147.77928563285454
629,148.00630059698554
634,147.9976629238854
636,148.06873963122436
637,147.949277189265
640,148.0828204427444
649,148.156789606574
650,148.23851198302796
651,148.1820601641605
652,148.16746978443638
655,148.30692034686737
661,148.3342549085445
665,148.37681311509502
670,148.33619044181827
678,148.10327331520062
681,148.1863096561597
691,148.6106001654751
695,148.6082923627415
729,148.8053707474473
738,149.0409585971102
753,149.99904738462055
817,150.20822594142513
828,149.26096637699004
835,149.45972124917378
854,149.8181447530278
855,149.94064258231114
857,149.84507627873225
858,149.91742936090432
859,149.8307753297988
864,149.64389665789312
865,149.7635219118631
889,149.57620383302444
890,149.41689625807862
919,149.2185209626319
961,148.846633048656
969,148.7879193990794
975,148.4596316394682
979,149.16606456425149
985,149.1317729995741
1003,149.13886012962092
1008,149.33766605509163
1010,149.29517172217217
1015,149.35653733711297
1027,149.29007366743014
1032,149.30479405156274
1056,149.44574754896152
1067,149.87175115634045
1073,149.6134841803567
1077,149.91471631815037
1078,149.9155557486192
1084,149.8869347840656
1086,149.90934552701367
1093,149.71597257147857
1095,149.70771808873616
1099,149.65731173924053
1108,150.10527300198729
1114,149.85216402914554
1124,150.2408015608375
1126,150.31188197920102
1127,150.2283190630129
1133,150.2983889661151
1153,150.4218299110956
1167,151.50262684517918
1173,151.6421891000447
1214,151.07643629727465
1220,151.64051059558955
1235,150.65350690280263
1259,150.956171765367
1275,150.55169302665118
1284,150.83608671216865
1299,150.45324071971652
1308,150.6925124663693
1319,150.75577570131136
1329,150.31890569687846
1335,150.54143109620435
1337,150.3817926783543
1342,150.59393989796718
1346,150.63233280003385
1348,150.59761954618554
1362,150.90338533361214
1363,150.77938928716742
