object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,W1-W2,W2-W3
3316.0,14.0,0.6228970699192543,1,160.68680689678575,0.1491709879276762,274,558,51913,-16.790483474731445,0.0149448188021779,-1.1448410749435425,-9.695967674255373,1.0,,1.4190759658813477,0.4512367248535156,0.0878449601895577,0.031541991546446,311.0,0.47498,-134.567478,160.6868069,0.14917098793,160.6867129,0.1490784,14.786,0.033,33.0,14.817,0.068,16.0,12.48,0.495,2.2,8.382,,0.3,-0.031000000000000583,2.3369999999999997
3427.0,11.0,0.9384811272767556,1,162.19931863961392,-0.3460840385483633,275,107,51910,-16.94388771057129,0.016208553686738,-0.7638765573501587,-9.060199737548828,1.0,,1.057844161987305,0.2407302856445312,0.0607927758191868,0.0289969851478432,319.0,0.300326,-31.620831,162.19931864,-0.34608403855,162.1992749,-0.346013,14.863,0.033,32.6,14.675,0.061,17.7,12.024,,1.8,8.341,0.276,3.9,0.18799999999999883,2.6510000000000016
6193.0,6.0,0.8028374522222412,1,173.6021604461204,1.15428434314898,282,451,51658,-16.4028263092041,0.0171500872820615,-1.0232383012771606,-9.64706325531006,1.0,,1.6101226806640625,0.4689693450927734,0.101073056024281,0.0308142129374279,527.0,0.1549,-95.391807,173.60216045,1.1542843431,173.6021176,1.1542803,15.287,0.04,26.8,15.256,0.105,10.3,12.074,0.432,2.5,8.692,,0.4,0.031000000000000583,3.1820000000000004
8167.0,8.0,0.3585240516475651,1,184.96544511613723,0.8100608104060897,288,455,52000,-16.805675506591797,0.0337517894804477,,,,,1.4989137649536133,0.3750457763671875,0.1719961972478113,0.0477342070701957,791.0,2.704865,-69.56016,184.96544512,0.81006081041,184.964741,0.8103232,15.016,0.036,29.8,14.979,0.096,11.3,11.468,0.272,4.0,8.647,,-1.0,0.03700000000000081,3.5109999999999992
13967.0,24.0,0.4994401303819825,1,217.7229619213868,0.4628394988070778,305,604,51613,-16.850921630859375,0.0134112276136875,-0.3351413607597351,-8.228703498840332,1.0,8.84,0.8258209228515625,0.1201362609863281,0.0550339574433181,0.029459202725171,1472.0,0.333242,-151.956311,217.72296192,0.46283949881,217.7229184,0.4627578,14.882,0.032,33.6,14.235,0.049,22.0,10.087,0.047,22.9,6.637,0.059,18.5,0.6470000000000002,4.148
47266.0,9.0,0.5664036036508302,1,120.95853288471724,41.712590627175125,437,6,51876,-16.661279678344727,0.0207650028169155,-1.2118990421295166,-9.92013168334961,1.0,,1.3208398818969729,0.4818935394287109,0.2658667331329238,0.0334923859884688,2509.0,0.448165,65.222712,120.95853288,41.712590627,120.9586843,41.7126428,15.039,0.035,30.7,15.029,0.083,13.1,12.213,0.402,2.7,8.182,,2.0,0.009999999999999787,2.8160000000000007
47768.0,15.0,0.2818047650161348,1,121.3368116652451,47.2857713192181,438,492,51884,-12.186119079589844,0.0496761016547679,-0.7741571664810181,-10.874296188354492,1.0,,-3.185864448547364,-2.377373695373535,5.798026604028921,5.454871350650674,2669.0,0.511826,-103.885429,121.33681167,47.285771319,121.3366082,47.2857372,14.723,0.031,35.3,14.794,0.066,16.6,12.253,,0.8,8.795,,0.6,-0.07099999999999973,2.5410000000000004
48471.0,10.0,0.8458137453397491,1,125.28331472131865,45.69901328857296,441,63,51868,-15.178067207336426,0.0072585460729897,-1.7193509340286257,-9.438860893249512,1.0,,1.1356420516967771,0.3123121261596679,0.0636302378239993,0.033229038099658,2796.0,1.243355,-5.957021,125.28331472,45.699013289,125.2832634,45.6993568,15.011,0.034,31.7,14.947,0.073,14.8,12.107,,1.3,8.912,,-0.1,0.06400000000000006,2.84
48482.0,19.0,0.5923728889969506,1,125.5658102353246,46.69167189130726,441,81,51868,-15.706974983215332,0.0072705596685409,-1.595012664794922,-9.911252975463867,1.0,,1.2652740478515625,0.4176139831542969,0.0645641881313568,0.0295395163370975,2799.0,0.618781,21.604224,125.56581024,46.691671891,125.5659025,46.6918317,14.759,0.033,33.4,14.659,0.056,19.4,11.893,0.276,3.9,8.643,,0.8,0.09999999999999964,2.766
48552.0,21.0,0.7333782964682474,1,123.32155432774006,46.37237450532725,441,242,51868,-16.690950393676758,0.0075620631687343,-1.4395480155944824,-10.063069343566896,1.0,,1.4167327880859375,0.4629287719726562,0.0963647894542481,0.0396450176152783,2813.0,0.31658,152.083186,123.32155433,46.372374505,123.321614,46.3722968,14.206,0.029,37.6,14.111,0.042,26.0,11.718,0.234,4.6,8.454,,1.6,0.09499999999999886,2.3930000000000007
