object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,W1-W2,W2-W3
51146.0,25.0,0.7432243834508762,0,131.2314457962042,55.41678591849953,448,303,51900,-16.010465621948242,0.0977881774306297,0.6611539721488953,-9.989301681518556,3.0,,-0.9852943420410156,-3.255945205688477,3.143212582368824,2.9892327170811863,8696.0,3.391674,-40.313884,131.2314458,55.416785918,131.2303719,55.4175043,13.699,0.026,42.5,13.407,0.029,37.3,10.079,0.053,20.4,8.173,0.236,4.6,0.2919999999999998,3.3279999999999994
65139.0,20.0,0.3964386174023547,0,159.06701327986468,2.4656768767288724,505,497,52317,-15.610248565673828,0.094947874546051,-0.6177685856819153,-11.341733932495115,2.0,,1.9238357543945312,1.7096624374389648,8780.524314234299,10189.648307140456,11280.0,3.375444,-42.578174,159.06701328,2.4656768767,159.0663783,2.4663673,14.23,0.029,37.3,14.117,0.045,24.0,12.432,,0.2,8.971,,-0.1,0.11299999999999955,1.6850000000000005
66792.0,19.0,0.8537545530546753,0,173.2122788314335,1.602669476536163,513,261,51989,-16.77878761291504,0.0753208175301551,0.1746773719787597,-9.854775428771973,1.0,,0.4507465362548828,0.0108776092529296,1089418.5349248047,491188.4856501504,12064.0,2.850749,117.812816,173.21227883,1.6026694765,173.2129795,1.6023,14.526,0.032,34.1,14.301,0.052,21.0,10.556,0.083,13.0,8.212,,2.0,0.22499999999999964,3.745000000000001
66886.0,23.0,0.8542690220973331,0,174.64087081020742,2.8737811681455123,513,586,51989,-13.152691841125488,0.0940611287951469,-0.7644807696342468,-11.315680503845217,-1.0,,0.3477249145507812,0.1155014038085937,34092.79780411512,57612.09516034462,12112.0,4.433337,-168.595619,174.64087081,2.8737811681,174.640627,2.872574,14.3,0.029,37.8,14.182,0.048,22.7,12.309,0.49,2.2,8.382,,1.0,0.11800000000000033,1.873000000000001
68950.0,4.0,0.3826182522792004,0,186.53603405365217,3.560171941428357,519,567,52283,-16.915767669677734,0.0256740115582942,-0.9419665932655334,-9.697553634643556,1.0,,1.6086158752441406,0.4987850189208984,0.1710470566391883,0.2016916742757921,13080.0,3.916211,-137.734728,186.53603405,3.5601719414,186.535301,3.5593669,15.091,0.038,28.2,14.943,0.092,11.8,12.152,,-1.7,8.36,,0.3,0.1479999999999997,2.7910000000000004
79105.0,10.0,0.7195494975610581,0,138.61973938246598,53.089035373799625,554,319,52000,-16.880001068115234,0.0247028656303882,-1.2825376987457275,-10.316621780395508,1.0,,1.9058599472045896,0.6053009033203125,0.1112960807161941,0.0316720341226848,17360.0,0.088355,39.542999,138.61973938,53.089035374,138.6197654,53.0890543,15.035,0.033,32.4,14.934,0.066,16.5,11.755,0.245,4.4,9.084,,-0.1,0.10100000000000087,3.1789999999999985
88484.0,26.0,0.904754611940759,0,227.0580465835772,3.5135644655783844,589,26,52055,-13.86090087890625,0.090842567384243,-0.3376066982746124,-11.635659217834473,4.0,,-0.0866470336914062,-2.262521743774414,,37854.01312374777,21573.0,1.262306,-4.552486,227.05804658,3.5135644656,227.0580187,3.513914,14.111,0.028,39.4,13.879,0.04,27.3,11.996,0.257,4.2,9.073,,0.6,0.2320000000000011,1.8829999999999991
132238.0,6.0,-0.132856547246975,0,143.7230767109015,52.73913650021806,768,276,52281,-16.90254020690918,0.0250607151538133,-0.7064073085784912,-9.263226509094238,1.0,,1.0805683135986328,0.3032360076904297,0.0764779339291145,0.1045587613835658,27263.0,0.261754,173.214572,143.72307671,52.7391365,143.7230909,52.7390643,15.227,0.032,34.3,15.043,0.058,18.9,11.313,0.131,8.3,8.294,0.209,5.2,0.18400000000000105,3.7299999999999986
146249.0,4.0,-0.2528108880281159,0,144.11418094120543,47.40644539996956,834,500,52316,-16.379961013793945,0.0157465953379869,,,,,1.9549674987792969,0.3705272674560547,0.3677711266620781,0.0408408833136131,32252.0,4.980719,68.373127,144.11418094,47.4064454,144.1160813,47.4069553,15.264,0.035,30.6,15.01,0.067,16.2,12.439,,0.8,9.178,,-0.1,0.25399999999999956,2.5709999999999997
146278.0,20.0,0.2957263687751482,0,145.02526481347357,48.40919323758556,834,576,52316,-16.10379981994629,0.026178665459156,-0.6966664791107178,-9.937174797058104,1.0,,0.9504365921020508,-0.3433876037597656,0.4877491376660554,0.0919340366417964,32265.0,4.506458,-5.532503,145.02526481,48.409193238,145.025083,48.4104392,14.338,0.028,39.4,14.188,0.042,26.1,10.483,0.074,14.6,8.592,0.409,2.7,0.14999999999999858,3.705
158121.0,9.0,-0.503255869953081,0,170.20137647358493,51.55276300293633,878,597,52353,-16.8897762298584,0.0263495557010173,-1.1801204681396484,-10.256531715393066,1.0,,1.9662160873413088,0.626678466796875,0.125796962391973,0.0338158459926551,37756.0,0.560634,-98.23377,170.20137647,51.552763003,170.2011286,51.5527407,15.127,0.034,32.3,14.962,0.061,17.7,11.693,0.225,4.8,9.053,,-0.6,0.16500000000000092,3.269
160601.0,22.0,0.1677651281658369,0,192.63479554108343,51.58262001329015,886,190,52381,-16.513376235961914,0.0110868262127041,-1.2554054260253906,-9.502697944641112,1.0,,1.1839942932128906,0.3025627136230469,0.0655524382226073,0.0337765547397075,39129.0,2.71957,-169.893,192.63479554,51.582620013,192.6345822,51.5818763,14.554,0.028,38.5,14.386,0.044,24.6,10.931,0.123,8.8,7.497,0.113,9.6,0.16800000000000104,3.455
161002.0,24.0,0.2999242681289082,0,195.3507504337701,52.77569409666224,887,339,52376,-16.987712860107422,0.0152954552322626,-1.063510537147522,-9.603747367858888,1.0,,1.293354034423828,0.4581661224365234,0.1590132937121724,0.0321258053306453,39304.0,4.007042,154.928565,195.35075043,52.775694097,195.3515301,52.7746859,14.559,0.031,35.4,14.344,0.045,24.0,12.371,0.374,2.9,8.575,,1.5,0.21499999999999986,1.972999999999999
163552.0,8.0,0.2601540134055117,0,128.30237700555094,41.32324833311978,895,434,52581,-16.91459083557129,0.0241245720535516,-1.291242003440857,-10.191157341003418,1.0,,1.793513298034668,0.5599765777587891,0.1352427206918647,0.0318367813849327,40612.0,0.621146,31.33949,128.30237701,41.323248333,128.3024965,41.3233957,15.186,0.036,30.4,15.063,0.083,13.0,12.215,0.396,2.7,8.75,,-1.3,0.12299999999999933,2.8480000000000008
164876.0,13.0,-0.51571334703119,0,142.01360159904473,48.52672137021981,900,552,52637,-16.88050079345703,0.0154057806357741,-0.9473549723625184,-9.312878608703612,1.0,,0.9192953109741212,0.2211380004882812,0.1086244044512348,0.0305711049714624,41140.0,0.319766,147.328505,142.0136016,48.52672137,142.013674,48.5266466,15.055,0.034,32.3,14.85,0.058,18.9,11.616,0.207,5.3,8.7,0.389,2.8,0.20500000000000007,3.234
174492.0,21.0,0.5889605566608839,0,128.45637646340387,34.10557658957879,933,360,52642,-16.59007453918457,0.0619933903217315,-0.0340142287313938,-9.901917457580566,3.0,,0.6096687316894531,-0.8933563232421875,0.3850626217530796,0.1331049098036434,43492.0,2.202522,-5.285243,128.45637646,34.10557659,128.4563084,34.1061858,14.133,0.026,41.2,13.581,0.037,29.1,9.893,0.047,23.0,7.406,0.146,7.5,0.5519999999999996,3.687999999999999
177192.0,15.0,-0.1021334005448383,0,154.36667857358543,46.68409888815919,944,412,52614,-16.930675506591797,0.0252173133194446,-1.180813908576965,-10.38042163848877,1.0,,1.942964553833008,0.6344070434570312,0.0846754492010987,0.0301011034227729,44754.0,0.229728,0.385845,154.36667857,46.684098888,154.3666792,46.6841627,14.73,0.031,35.2,14.666,0.053,20.3,12.123,0.374,2.9,9.055,0.5,2.2,0.06400000000000006,2.543000000000001
183307.0,7.0,-0.5241139246381943,0,163.59897169138057,47.48038925510803,963,150,52643,-16.751066207885742,0.0221066270023584,-1.932159662246704,-10.909417152404783,-1.0,,2.111546516418457,0.6036376953125,0.1272436540017603,0.0322111828073858,47712.0,0.142118,-27.411311,163.59897169,47.480389255,163.5989448,47.4804243,14.983,0.033,33.4,15.141,0.079,13.7,12.35,,0.5,9.153,,-1.5,-0.15799999999999947,2.7910000000000004
183670.0,23.0,-0.0933341132485729,0,165.4393142908643,47.6231025059728,964,249,52646,-16.863142013549805,0.0217217542231082,-0.9279778003692628,-10.110631942749023,-1.0,,1.8066978454589844,0.6147232055664062,0.1001420711363711,0.0355355297902994,47850.0,0.115663,64.178961,165.43931429,47.623102506,165.4393572,47.6231165,14.213,0.027,40.6,14.043,0.041,26.6,10.048,0.053,20.5,8.056,0.232,4.7,0.16999999999999993,3.994999999999999
195328.0,19.0,-0.4160711423778067,0,165.2509090987626,7.5993603996735715,1003,428,52641,-15.778779983520508,0.1053624898195266,-0.2079030722379684,-10.813871383666992,2.0,,-0.1985273361206054,-0.4073333740234375,,,52095.0,2.210127,173.436,165.2509091,7.5993603997,165.2509799,7.5987505,14.523,0.031,35.1,14.351,0.052,21.0,12.185,0.402,2.7,8.904,,-1.0,0.17199999999999882,2.1660000000000004
197423.0,4.0,0.8209456598513042,0,166.2229906051322,52.37689056046519,1011,48,52652,-16.59779930114746,0.0217046551406383,-0.8600531816482544,-9.23550033569336,1.0,,1.1391725540161133,0.3574104309082031,0.0696835125807453,0.0323099528747861,52986.0,0.051816,12.72849,166.22299061,52.37689056,166.2229958,52.3769046,15.378,0.037,29.2,15.144,0.067,16.1,11.583,0.152,7.2,8.315,0.233,4.7,0.23399999999999999,3.561
200842.0,13.0,0.2558952168865989,0,185.92563294997308,56.11331620323761,1019,576,52707,-16.227676391601562,0.0160446558147668,-1.434821367263794,-9.965310096740724,1.0,,1.6291875839233398,0.4889059066772461,0.2281705716132428,0.0306198527660518,55348.0,0.169116,101.546759,185.92563295,56.113316203,185.9257155,56.1133068,14.972,0.031,35.0,14.897,0.056,19.3,11.934,0.234,4.6,9.118,,-0.3,0.07499999999999929,2.963000000000001
206303.0,5.0,0.3829961342072306,0,190.94373365318827,54.64610219311597,1038,236,52673,-16.172578811645508,0.0156073365360498,-1.0245341062545776,-9.014023780822754,1.0,,0.7373695373535156,0.2465839385986328,0.0589467307542427,0.0297675852337069,55598.0,0.818623,32.862208,190.94373365,54.646102193,190.9439469,54.6462932,15.275,0.036,29.9,15.184,0.074,14.7,11.771,0.174,6.2,8.538,,1.7,0.09100000000000108,3.4129999999999985
206386.0,19.0,-0.0413282730936235,0,190.76332443463173,54.86378299996248,1038,399,52673,-16.79571533203125,0.0158370546996593,-2.2261905670166016,-11.239872932434082,-1.0,,2.154496192932129,0.6916179656982422,0.1500853695128004,0.0336175850179247,55647.0,0.352643,91.228315,190.76332443,54.863783,190.7634946,54.8637809,14.827,0.03,35.6,14.873,0.058,18.9,12.8,,-0.2,9.352,,-0.1,-0.045999999999999375,2.0729999999999986
206392.0,24.0,0.4079279383162916,0,191.27605464626453,55.90433255826988,1038,407,52673,-15.74977207183838,0.015362050384283,-0.834570586681366,-9.851103782653809,1.0,,-0.1361274719238281,-0.901240348815918,0.102182916142825,0.0731658424802656,55650.0,2.762966,-46.567873,191.27605465,55.904332558,191.2750604,55.9048602,13.842,0.046,23.5,13.733,0.052,20.9,10.062,0.081,13.4,7.936,0.314,3.5,0.10899999999999999,3.671000000000001
210955.0,12.0,-0.0093064671419232,0,234.80213572555664,43.96166861769815,1052,604,52466,-16.703895568847656,0.0187830869108438,-1.937341809272766,-11.052364349365234,2.0,,1.8357009887695312,0.6485519409179688,0.1066043656548813,0.0333269079944593,57909.0,0.107344,71.45749,234.80213573,43.961668618,234.802175,43.9616781,14.987,0.029,37.7,14.98,0.05,21.7,12.97,,0.9,9.703,,0.0,0.006999999999999673,2.01
229008.0,7.0,0.1056486950134328,0,133.17954191200084,38.72752087467056,1198,252,52669,-16.92323875427246,0.0134375160560011,-1.0348668098449707,-9.48924446105957,1.0,,1.018052101135254,0.2381420135498047,0.0703641635229924,0.0389309237845818,64227.0,1.547402,-83.209051,133.17954191,38.727520875,133.1789948,38.7275717,15.091,0.036,29.9,14.989,0.074,14.7,12.335,0.425,2.6,8.273,,1.6,0.10199999999999854,2.654
231085.0,14.0,0.7550451147053298,0,123.36919416204772,27.3262617265426,1206,177,52670,-16.864200592041016,0.0192397013306617,-0.8282049298286438,-9.540908813476562,1.0,,1.4029817581176758,0.4489250183105469,0.0783399011528178,0.0313800830231592,64978.0,0.225776,51.228472,123.36919416,27.326261727,123.3692492,27.326301,14.903,0.036,30.4,14.716,0.065,16.6,11.726,0.274,4.0,8.18,0.28,3.9,0.18700000000000117,2.9899999999999984
236594.0,19.0,0.2627245904960268,0,176.485215053902,9.73377581487259,1225,116,52760,-16.87581443786621,0.0210450366139411,-1.6405658721923828,-10.834054946899414,-1.0,,1.959676742553711,0.6561908721923828,0.1009142965269162,0.0329645247978538,67771.0,0.33277,129.998433,176.48521505,9.7337758149,176.4852869,9.7337164,14.596,0.032,34.0,14.49,0.056,19.3,12.575,,-0.2,8.942,,0.2,0.10599999999999987,1.915000000000001
236860.0,14.0,0.677847865081108,0,175.5871654507667,10.08599469180395,1225,492,52760,-16.963329315185547,0.0206012558192014,-1.5018292665481567,-10.489093780517578,1.0,,1.6953210830688477,0.5613594055175781,0.111921556000393,0.0334543693531496,67931.0,0.347391,-69.744418,175.58716545,10.085994692,175.5870735,10.0860281,14.792,0.033,32.9,14.717,0.067,16.3,12.201,0.382,2.8,8.258,,1.6,0.07499999999999929,2.516
237058.0,17.0,0.2636259166852323,0,176.51069209879068,9.75642172726045,1226,194,52734,-16.885522842407227,0.0217377562075853,-1.548567295074463,-10.676557540893556,2.0,,1.7842082977294922,0.6781005859375,0.102887556944125,0.0367174065269411,68041.0,0.219173,-131.73426,176.5106921,9.7564217273,176.510646,9.7563812,14.598,0.032,33.6,14.37,0.052,20.9,11.624,,1.8,8.977,,-1.5,0.22800000000000153,2.7459999999999987
237176.0,10.0,-0.4405710329010613,0,176.57810343853657,10.972247122058564,1226,372,52734,-16.873388290405273,0.0188980661332607,-1.0564814805984497,-9.88188934326172,1.0,,1.6466093063354492,0.4761314392089844,0.1229726342620786,0.0330641463206197,68109.0,0.195712,88.653023,176.57810344,10.972247122,176.5781588,10.9722484,14.782,0.033,32.8,14.641,0.066,16.4,11.636,0.212,5.1,8.592,,0.6,0.14100000000000001,3.005000000000001
238531.0,5.0,0.7449881051115382,0,185.1401321833736,9.465294469666656,1230,107,52672,-16.926895141601562,0.0251787006855011,-1.0560975074768066,-10.054122924804688,1.0,,1.6840534210205078,0.5302543640136719,0.15093041148664,0.0352154877613364,68858.0,0.953451,52.499585,185.14013218,9.4652944697,185.1403452,9.4654557,14.976,0.035,30.7,14.749,0.067,16.1,11.644,0.21,5.2,8.696,,0.5,0.2270000000000003,3.1050000000000004
238891.0,8.0,-0.53884974932535,0,186.70820900943096,9.014814421891808,1231,89,52725,-16.951250076293945,0.0253484584391117,-1.992708325386048,-11.175814628601074,-1.0,,2.109927177429199,0.7477684020996094,0.2597722265667816,0.0488304644945359,69058.0,4.843282,-124.051727,186.70820901,9.0148144219,186.7070804,9.0140611,14.947,0.034,32.2,14.787,0.072,15.1,11.66,0.227,4.8,8.975,0.456,2.4,0.15999999999999837,3.1270000000000007
238963.0,8.0,-0.3182681734263712,0,185.96661150998185,9.600876941629288,1231,193,52725,-16.844690322875977,0.0233461055904626,-0.9169327020645142,-9.762642860412598,1.0,,1.4130964279174805,0.5011959075927734,0.1080956714329276,0.0329394179682177,69100.0,0.160428,-95.203548,185.96661151,9.6008769416,185.9665665,9.6008729,15.076,0.036,30.2,14.743,0.065,16.7,11.199,0.161,6.8,8.793,,0.5,0.3330000000000002,3.5440000000000005
243649.0,11.0,0.0711198535258657,0,123.95451698410386,25.78374537723972,1266,127,52709,-16.99362564086914,0.0247628539800643,-1.2191951274871826,-10.436363220214844,3.0,,1.991304397583008,0.6629199981689453,0.1458955002064738,0.0325289076861861,71130.0,0.198531,93.719191,123.95451698,25.783745377,123.9545781,25.7837418,14.75,0.033,32.6,14.688,0.067,16.3,10.917,0.138,7.9,7.988,0.238,4.6,0.06199999999999939,3.771000000000001
246360.0,7.0,-0.640773873715728,0,146.81451149679208,37.051990723233736,1276,43,53035,-16.879785537719727,0.0223215632140636,-1.7147186994552612,-10.797772407531738,-1.0,,2.102579116821289,0.6069908142089844,0.1720230747053799,0.0327985363016161,72555.0,0.05681,94.810037,146.8145115,37.051990723,146.8145312,37.0519894,15.034,0.034,31.7,14.915,0.073,14.9,12.419,,-0.6,9.081,,-0.3,0.11900000000000155,2.4959999999999987
249807.0,11.0,-0.0789237545928745,0,220.29702557389865,44.55932921844349,1289,435,52734,-15.958295822143556,0.0108110904693603,-1.6173138618469238,-10.108231544494627,1.0,,1.7247467041015625,0.4855222702026367,0.2302101696483356,0.056291985564486,73945.0,0.373853,-178.634212,220.29702557,44.559329218,220.2970221,44.5592254,15.08,0.032,33.9,14.937,0.053,20.4,12.374,,1.8,8.986,,1.1,0.14300000000000068,2.562999999999999
256545.0,24.0,0.5363596059960581,0,185.42230165415967,56.82924654491245,1315,102,52791,-16.8474178314209,0.0158520080149173,-0.6677662134170532,-9.584400177001951,1.0,,1.3079833984375,0.4796295166015625,0.0624559978918368,0.0299450332353235,77089.0,0.454442,-53.121677,185.42230165,56.829246545,185.4221171,56.8293223,13.8,0.025,43.0,13.593,0.03,36.4,9.481,0.032,34.3,7.094,0.085,12.7,0.20700000000000074,4.112
257791.0,10.0,0.2579507170483707,0,197.58811575712429,55.761459819549785,1319,202,52791,-16.79316520690918,0.0294905584305524,,,,,1.0633697509765625,0.3644123077392578,0.098223793218687,0.0334589923027547,77698.0,0.316683,-142.000089,197.58811576,55.76145982,197.5880195,55.7613905,15.306,0.034,31.9,15.101,0.064,16.9,11.279,0.119,9.1,8.051,0.161,6.8,0.2049999999999983,3.822000000000001
262061.0,10.0,-0.6074813437046778,0,232.33714043005105,46.83650733050794,1332,362,52781,-16.56664276123047,0.0180739611387252,-1.1045783758163452,-9.725424766540527,1.0,,1.3619794845581057,0.469003677368164,0.0813574173567823,0.031116192971638,79901.0,0.333813,76.993144,232.33714043,46.836507331,232.3372725,46.8365282,15.052,0.029,37.8,15.199,0.058,18.6,12.031,0.183,5.9,9.326,0.358,3.0,-0.14700000000000024,3.1679999999999993
265636.0,16.0,-0.3118896138539103,0,204.30841911856825,44.09603444369399,1344,588,52792,-15.449421882629396,0.0087861847132444,-2.0017857551574707,-10.414612770080566,1.0,,2.0966033935546875,0.570530891418457,0.1665104187689143,0.030320382580933,81660.0,0.196445,7.852929,204.30841912,44.096034444,204.3084295,44.0960885,14.78,0.031,35.4,14.649,0.049,22.3,11.978,0.227,4.8,9.282,,-1.2,0.13100000000000023,2.6709999999999994
265810.0,20.0,-0.1315007344370334,0,205.86244420069568,43.18850076629603,1345,431,52814,-16.034160614013672,0.0083706071600317,-1.426347255706787,-9.461888313293455,1.0,,1.1373157501220703,0.3236961364746094,0.0705206039969907,0.0322643890029279,81742.0,1.290469,118.904811,205.8624442,43.188500766,205.8628746,43.1883275,14.88,0.031,34.5,14.638,0.048,22.8,12.566,0.408,2.7,8.719,,1.9,0.24200000000000088,2.071999999999999
266619.0,17.0,0.1632560141707041,0,214.6826588288669,40.3893596603312,1348,274,53084,-16.810245513916016,0.0192237570881843,-1.1762999296188354,-9.999451637268066,1.0,,1.4778509140014648,0.4783878326416015,0.0875432194097887,0.0347170632371825,82133.0,0.052366,19.169508,214.68265883,40.38935966,214.6826651,40.3893734,14.897,0.031,35.0,14.899,0.059,18.4,12.106,0.276,3.9,9.222,,0.3,-0.0019999999999988916,2.7929999999999993
266905.0,7.0,0.6123693469181407,0,217.39237460681164,40.93399909924626,1349,361,52797,-15.505955696105955,0.0088077746331691,-1.6950666904449463,-9.749502182006836,1.0,,1.5220718383789062,0.3813762664794922,0.2219847940715944,0.0306953797788426,82223.0,1.15632,-129.151883,217.39237461,40.933999099,217.3920449,40.9337963,15.073,0.031,35.3,14.987,0.057,19.0,12.732,0.423,2.6,8.965,,1.3,0.0860000000000003,2.255000000000001
266911.0,26.0,0.2525444235554518,0,217.39277685442443,40.8914038961516,1349,379,52797,-16.49652099609375,0.0090040359646081,-1.2867149114608765,-9.608163833618164,1.0,,1.0145931243896484,0.2820663452148437,0.0841620580776722,0.0332754873932335,82224.0,1.645287,-96.091091,217.39277685,40.891403896,217.3921757,40.8913554,14.775,0.038,28.7,14.724,0.061,17.7,12.389,0.448,2.4,8.5,,0.8,0.051000000000000156,2.335000000000001
