z,d_M,d_L
0,0,0
1E-05,0.083277,0.083278
2E-05,0.124916,0.124918
3E-05,0.166554,0.166559
4E-05,0.208192,0.2082
5E-05,0.24983,0.249842
6E-05,0.291468,0.291485
7E-05,0.333105,0.333128
8E-05,0.374742,0.374772
9E-05,0.41638,0.416417
0.0001,0.458016,0.458062
0.00011,0.499653,0.499708
0.00012,0.54129,0.541355
0.00013,0.582926,0.583002
0.00014,0.624562,0.62465
0.00015,0.666198,0.666298
0.00016,0.707834,0.707947
0.00017,0.74947,0.749597
0.00018,0.791105,0.791247
0.00019,0.83274,0.832898
0.0002,0.874375,0.87455
0.00021,0.91601,0.916203
0.00022,0.957645,0.957856
0.00023,0.999279,0.999509
0.00024,1.040914,1.041163
0.00025,1.082548,1.082818
0.00026,1.124182,1.124474
0.00027,1.165815,1.16613
0.00028,1.207449,1.207787
0.00029,1.249082,1.249445
0.0003,1.290715,1.291103
0.00031,1.332348,1.332761
0.00032,1.373981,1.374421
0.00033,1.415614,1.416081
0.00034,1.457246,1.457742
0.00035,1.498879,1.499403
0.00036,1.540511,1.541065
0.00037,1.582142,1.582728
0.00038,1.623774,1.624391
0.00039,1.665406,1.666055
0.0004,1.707037,1.70772
0.00041,1.748668,1.749385
0.00042,1.790299,1.791051
0.00043,1.83193,1.832717
0.00044,1.87356,1.874385
0.00045,1.915191,1.916052
0.00046,1.956821,1.957721
0.00047,1.998451,1.99939
0.00048,2.040081,2.04106
0.00049,2.08171,2.08273
0.0005,2.12334,2.124401
0.00051,2.164969,2.166073
0.00052,2.206598,2.207745
0.00053,2.248227,2.249418
0.00054,2.289855,2.291092
0.00055,2.331484,2.332766
0.00056,2.373112,2.374441
0.00057,2.41474,2.416117
0.00058,2.456368,2.457793
0.00059,2.497996,2.49947
0.0006,2.539623,2.541147
0.00061,2.581251,2.582825
0.00062,2.622878,2.624504
0.00063,2.664505,2.666184
0.00064,2.706132,2.707864
0.00065,2.747758,2.749544
0.00066,2.789385,2.791226
0.00067,2.831011,2.832908
0.00068,2.872637,2.874591
0.00069,2.914263,2.916274
