object_tag,PLATE,FIBERID,MJD,MPA_tag
1862244,2101,135,53858,723472
1903809,2082,126,53358,714755
1866552,2113,407,53468,729823
1903923,2083,162,53359,715171
1861544,1993,541,53762,693103
1861580,2028,390,53818,709282
1865976,2010,540,53495,701052
1861892,1992,135,53466,692393
1861541,1993,503,53762,693073
1861659,1838,48,53467,649067
1862146,2032,45,53815,710943
1862639,2022,363,53827,706464
1862127,2032,126,53815,711008
1862528,2001,50,53493,696101
1863282,2001,108,53493,696136
1863297,1992,312,53466,692480
1451745,1849,398,53846,654694
1862862,2102,288,54115,724097
1452713,1843,558,53816,651760
1863784,1839,380,53471,649730
1864622,529,452,52025,132141
1863281,2001,111,53493,696138
1453232,1850,145,53786,654950
1864956,531,275,52028,132952
1454051,1842,502,53501,651202
1864033,2000,359,53495,695905
1864334,2102,21,54115,723892
1454736,1850,357,53786,655096
1866694,2035,374,53436,712693
1866751,2103,372,53467,724687
1865183,531,426,52028,133041
1866987,2022,459,53827,706531
1865887,2003,499,53442,697293
1828393,1770,97,53171,615411
1826627,1760,91,53086,610787
1826200,1300,382,52973,430418
1826925,1756,300,53080,609477
1826625,1760,97,53086,610790
1828028,1764,88,53467,612609
1828153,1765,4,53466,613035
1827068,1759,621,53081,610726
1928231,2099,329,53469,722668
1828117,1766,299,53468,613772
1829427,1765,190,53466,613187
1828150,1766,212,53468,613700
1829337,1764,268,53467,612749
1728652,1780,231,53090,620052
1828379,1770,242,53171,615498
1929213,2138,481,53757,742900
1928591,2031,249,53848,710620
1829490,1765,71,53466,613089
1930260,1950,373,53436,678693
1928560,1987,459,53765,690539
1729803,1780,382,53090,620154
1928608,2031,98,53848,710511
1931514,2028,146,53818,709091
1928458,2015,570,53819,703409
1928707,2023,234,53851,706836
1930405,1959,433,53440,682884
1929345,2141,543,53764,744534
1812882,1926,43,53317,667612
1930749,2113,256,53468,729701
1930746,2111,10,53467,728458
1813667,1929,359,53349,669214
1813669,1928,242,53327,668682
1931014,2105,222,53472,725578
1814739,1927,323,53321,668318
1378126,886,337,52381,286553
1773684,1877,186,54464,663790
1774677,1868,60,53318,659329
1774660,1868,185,53318,659423
1814788,1928,283,53327,668716
1931199,2022,186,53827,706345
1773838,1879,62,54478,664647
1773751,1878,81,54474,664179
1773735,1878,206,54474,664283
1774747,1869,129,53327,659865
1773836,1879,117,54478,664683
1774782,1870,210,53383,660430
1774982,1872,544,53386,661648
1774765,1869,573,53327,660209
1378792,1678,547,53433,573936
1777488,1867,557,53317,659235
1774418,1865,94,53312,657959
1775801,1864,175,53313,657529
1775317,1877,610,54464,664090
1775256,1877,305,54464,663876
1776086,1867,98,53317,658902
1775928,1865,158,53312,658006
1777842,1872,431,53386,661553
1776124,1868,307,53318,659511
1379162,1683,27,53436,575658
1778653,1864,300,53313,657625
1778860,1866,369,53314,658651
1777287,1865,216,53312,658056
1776617,1874,579,54452,662648
1937576,1975,190,53734,685416
1936875,2094,168,53851,720039
1936631,2029,98,53819,709559
1862569,1992,126,53466,692386
1779162,1871,310,53384,660975
1778931,1867,371,53317,659109
1779252,1872,457,53386,661576
1779661,1879,422,54478,664908
1773842,1879,21,54478,664616
1779611,1878,377,54474,664401
1952887,2098,217,53460,722120
1779399,1875,307,54453,662923
1953256,2015,85,53819,703092
1779650,1879,393,54478,664888
1953263,2015,59,53819,703074
1953714,2109,6,53468,727450
1953076,2095,321,53474,720688
1953558,2104,441,53852,725240
1953799,2117,193,54115,731706
1775329,1878,203,54474,664280
1953874,2125,316,53795,735791
1775365,1878,598,54474,664570
1953967,2130,606,53881,738884
1954818,2137,150,54206,742118
1953664,2109,305,53468,727681
1954498,2143,524,54184,745552
1954657,2152,156,53874,749790
1955143,2134,71,53876,740506
1779147,1870,367,53383,660542
1955018,2149,635,54509,748615
1955368,2149,455,54509,748468
1955618,2137,513,54206,742410
1955660,2142,396,54208,744930
1955536,2134,492,53876,740834
1957716,2969,214,54586,925461
1955671,2142,428,54208,744955
1955702,2142,36,54208,744647
